Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,242,0,900,894.3838951070139,185.18266594037414,1775.9094999637455,315.7685950413223,16.569978699949054,0.0,900,1000,1200,1200,1400,1500,1800,1800,1800,1800,1800
,Aggregated,242,0,900,894.3838951070139,185.18266594037414,1775.9094999637455,315.7685950413223,16.569978699949054,0.0,900,1000,1200,1200,1400,1500,1800,1800,1800,1800,1800
